$BON Elev-Tailwater CBT-REV [NAVD88],,
CY2011 - 2015,,12/31/2010
JDAY,ElevFT,
41848,20.339272,
41849,19.87260533,
41850,19.46843867,
41851,19.76843867,
41852,18.73093867,
41853,18.014272,
41854,17.001772,
41855,18.03510533,
41856,17.201772,
41857,16.901772,
41858,18.351772,
41859,17.51843867,
41860,18.05593867,
41861,18.25968867,
41862,17.964272,
41863,17.83510533,
41864,18.14343867,
41865,17.701772,
41866,17.46843867,
41867,16.73510533,
41868,15.91843867,
41869,16.45593867,
41870,16.81010533,
41871,16.214272,
41872,15.826772,
41873,16.226772,
41874,16.226772,
41875,15.86010533,
41876,15.74343867,
41877,15.976772,
41878,16.96010533,
41879,16.626772,
41880,16.201772,
41881,16.08510533,
41882,15.914272,
41883,13.67260533,
41884,13.01843867,
41885,12.814272,
41886,12.714272,
41887,12.90593867,
41888,13.20593867,
41889,12.80593867,
41890,12.326772,
41891,12.114272,
41892,12.514272,
41893,11.976772,
41894,11.973022,
41895,13.31843867,
41896,12.156772,
41897,12.28510533,
41898,12.23510533,
41899,12.95593867,
41900,12.26843867,
41901,12.01010533,
41902,11.56843867,
41903,11.61010533,
41904,11.98510533,
41905,13.59760533,
41906,14.99760533,
41907,13.41843867,
41908,12.69760533,
41909,12.83510533,
41910,12.45593867,
41911,12.089272,
41912,11.19760533,
41913,11.114272,
41914,12.04760533,
41915,12.714272,
41916,11.51843867,
41917,11.64760533,
41918,13.97260533,
41919,13.84343867,
41920,13.94760533,
41921,14.11843867,
41922,13.49760533,
41923,12.10593867,
41924,12.06010533,
41925,12.889272,
41926,13.04343867,
41927,12.326772,
41928,12.89343867,
41929,13.31843867,
41930,12.72260533,
41931,11.814272,
41932,12.539272,
41933,13.40593867,
41934,13.101772,
41935,14.11010533,
41936,14.00843867,
41937,12.23093867,
41938,12.81843867,
41939,13.34343867,
41940,13.726772,
41941,14.15593867,
41942,14.84760533,
41943,15.36010533,
41944,15.101772,
41945,15.264272,
41946,15.22260533,
41947,15.01843867,
41948,15.01843867,
41949,15.14760533,
41950,15.464272,
41951,15.61843867,
41952,15.651772,
41953,15.87260533,
41954,15.93093867,
