$Inflows,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JDAY 1.0= 1/1/2000 12am,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JDAY,TDS,H2S,CH4,SO4,Tracer,Cond,TCol,ECol,ISS1,PO4,NH4,NO3,LDOM,RDOM,LPOM,RPOM,ALG1,DO,TIC,ALK,LDOM-P,RDOM-P,LPOM-P,RPOM-P,LDOM-N,RDOM-N,LPOM-N,RPOM-N
4451,83.89,0,0,5.047,0,106.7,1620,265.8,2.607,0.1112,5.00E-02,0.11,0.1521,0.1521,0.1521,0.1521,0.1,7.9,14.67,55.5,7.61E-04,7.61E-04,7.61E-04,7.61E-04,1.22E-02,1.22E-02,1.22E-02,1.22E-02
4452,83.75,0,0,5.049,0,106.4,1620,265.8,2.697,0.1113,5.00E-02,0.11,0.1515,0.1515,0.1515,0.1515,0.1,7.9,14.6,55.26,7.58E-04,7.58E-04,7.58E-04,7.58E-04,1.21E-02,1.21E-02,1.21E-02,1.21E-02
4453,83.61,0,0,5.05,0,106.1,1620,265.8,2.788,0.1114,5.00E-02,0.11,0.1509,0.1509,0.1509,0.1509,0.1,7.9,14.53,55.02,7.55E-04,7.55E-04,7.55E-04,7.55E-04,1.21E-02,1.21E-02,1.21E-02,1.21E-02
4454,83.47,0,0,5.052,0,105.7,1620,265.8,2.878,0.1115,5.00E-02,0.11,0.1503,0.1503,0.1503,0.1503,0.1,7.9,14.46,54.78,7.52E-04,7.52E-04,7.52E-04,7.52E-04,1.20E-02,1.20E-02,1.20E-02,1.20E-02
4455,83.33,0,0,5.054,0,105.4,1620,265.8,2.968,0.1115,5.00E-02,0.11,0.1497,0.1497,0.1497,0.1497,0.1,7.9,14.4,54.54,7.49E-04,7.49E-04,7.49E-04,7.49E-04,1.20E-02,1.20E-02,1.20E-02,1.20E-02
4456,83.19,0,0,5.055,0,105.1,1620,265.8,3.058,0.1116,5.00E-02,0.11,0.1491,0.1491,0.1491,0.1491,0.1,7.9,14.33,54.3,7.46E-04,7.46E-04,7.46E-04,7.46E-04,1.19E-02,1.19E-02,1.19E-02,1.19E-02
4457,83.05,0,0,5.057,0,104.8,1620,265.8,3.148,0.1117,5.00E-02,0.11,0.1485,0.1485,0.1485,0.1485,0.1,7.9,14.26,54.06,7.43E-04,7.43E-04,7.43E-04,7.43E-04,1.19E-02,1.19E-02,1.19E-02,1.19E-02
4458,82.91,0,0,5.058,0,104.5,1620,265.8,3.238,0.1118,5.00E-02,0.11,0.1479,0.1479,0.1479,0.1479,0.1,7.9,14.19,53.82,7.40E-04,7.40E-04,7.40E-04,7.40E-04,1.18E-02,1.18E-02,1.18E-02,1.18E-02
4459,82.77,0,0,5.06,0,104.2,1620,265.8,3.328,0.1119,5.00E-02,0.11,0.1473,0.1473,0.1473,0.1473,0.1,7.9,14.12,53.58,7.37E-04,7.37E-04,7.37E-04,7.37E-04,1.18E-02,1.18E-02,1.18E-02,1.18E-02
4460,82.63,0,0,5.062,0,103.9,1620,265.8,3.418,0.112,5.00E-02,0.11,0.1467,0.1467,0.1467,0.1467,0.1,7.9,14.05,53.34,7.34E-04,7.34E-04,7.34E-04,7.34E-04,1.17E-02,1.17E-02,1.17E-02,1.17E-02
4461,82.49,0,0,5.063,0,103.5,1620,265.8,3.508,0.112,5.00E-02,0.11,0.1461,0.1461,0.1461,0.1461,0.1,7.9,13.99,53.1,7.31E-04,7.31E-04,7.31E-04,7.31E-04,1.17E-02,1.17E-02,1.17E-02,1.17E-02
4462,82.35,0,0,5.065,0,103.2,1620,265.8,3.599,0.1121,5.00E-02,0.11,0.1455,0.1455,0.1455,0.1455,0.1,7.9,13.92,52.86,7.28E-04,7.28E-04,7.28E-04,7.28E-04,1.16E-02,1.16E-02,1.16E-02,1.16E-02
4463,82.21,0,0,5.066,0,102.9,1620,265.8,3.689,0.1122,5.00E-02,0.11,0.1449,0.1449,0.1449,0.1449,0.1,7.9,13.85,52.62,7.25E-04,7.25E-04,7.25E-04,7.25E-04,1.16E-02,1.16E-02,1.16E-02,1.16E-02
4464,82.07,0,0,5.068,0,102.6,1620,265.8,3.779,0.1123,5.00E-02,0.11,0.1443,0.1443,0.1443,0.1443,0.1,7.9,13.78,52.38,7.22E-04,7.22E-04,7.22E-04,7.22E-04,1.16E-02,1.16E-02,1.16E-02,1.16E-02
4465,81.93,0,0,5.07,0,102.3,1620,265.8,3.869,0.1124,5.00E-02,0.11,0.1437,0.1437,0.1437,0.1437,0.1,7.9,13.72,52.14,7.19E-04,7.19E-04,7.19E-04,7.19E-04,1.15E-02,1.15E-02,1.15E-02,1.15E-02
4466,81.79,0,0,5.071,0,102,1620,265.8,3.959,0.1125,5.00E-02,0.11,0.1431,0.1431,0.1431,0.1431,0.1,7.9,13.65,51.91,7.16E-04,7.16E-04,7.16E-04,7.16E-04,1.15E-02,1.15E-02,1.15E-02,1.15E-02
4467,81.65,0,0,5.073,0,101.7,1620,265.8,4.049,0.1125,5.00E-02,0.11,0.1425,0.1425,0.1425,0.1425,0.1,7.9,13.58,51.67,7.13E-04,7.13E-04,7.13E-04,7.13E-04,1.14E-02,1.14E-02,1.14E-02,1.14E-02
4468,81.51,0,0,5.074,0,101.3,1620,265.8,4.139,0.1126,5.00E-02,0.11,0.1419,0.1419,0.1419,0.1419,0.1,7.9,13.51,51.43,7.10E-04,7.10E-04,7.10E-04,7.10E-04,1.14E-02,1.14E-02,1.14E-02,1.14E-02
4469,81.37,0,0,5.076,0,101,1620,265.8,4.229,0.1127,5.00E-02,0.11,0.1413,0.1413,0.1413,0.1413,0.1,7.9,13.45,51.19,7.07E-04,7.07E-04,7.07E-04,7.07E-04,1.13E-02,1.13E-02,1.13E-02,1.13E-02
4470,81.23,0,0,5.078,0,100.7,1620,265.8,4.32,0.1128,5.00E-02,0.11,0.1407,0.1407,0.1407,0.1407,0.1,7.9,13.38,50.95,7.04E-04,7.04E-04,7.04E-04,7.04E-04,1.13E-02,1.13E-02,1.13E-02,1.13E-02
4471,81.09,0,0,5.079,0,100.4,1620,265.8,4.41,0.1129,5.00E-02,0.11,0.1401,0.1401,0.1401,0.1401,0.1,7.9,13.31,50.71,7.01E-04,7.01E-04,7.01E-04,7.01E-04,1.12E-02,1.12E-02,1.12E-02,1.12E-02
4472,80.95,0,0,5.081,0,100.1,1620,265.8,4.5,0.113,5.00E-02,0.11,0.1395,0.1395,0.1395,0.1395,0.1,7.9,13.24,50.47,6.98E-04,6.98E-04,6.98E-04,6.98E-04,1.12E-02,1.12E-02,1.12E-02,1.12E-02
4473,80.81,0,0,5.082,0,99.77,1620,265.8,4.59,0.1131,5.00E-02,0.11,0.1389,0.1389,0.1389,0.1389,0.1,7.9,13.18,50.23,6.95E-04,6.95E-04,6.95E-04,6.95E-04,1.11E-02,1.11E-02,1.11E-02,1.11E-02
