$Reservoir distributed tributary flows - calculated using water balance QDT=outflows-inflows
JDAY 1.0= 1/1/2000 12am
JDAY,QDT,
  5145.0,    4.48,
  5146.0,    3.98,
  5147.0,   -0.62,
  5148.0,   -0.65,
  5149.0,   -2.49,
  5150.0,   10.77,
  5151.0,    4.91,
  5152.0,    4.05,
  5153.0,    3.67,
  5154.0,    2.69,
  5155.0,    0.53,
  5156.0,    0.37,
  5157.0,   -0.01,
  5158.0,   -1.44,
  5159.0,    5.90,
  5160.0,    3.24,
  5161.0,    1.92,
  5162.0,    0.79,
  5163.0,    0.30,
  5164.0,   -2.68,
  5165.0,    0.20,
  5166.0,   -0.00,
  5167.0,    0.74,
  5168.0,   -0.70,
  5169.0,   -0.56,
  5170.0,    0.31,
  5171.0,    0.65,
  5172.0,   -3.84,
  5173.0,    4.48,
  5174.0,   82.23,
  5175.0,  132.11,
  5176.0,   19.52,
  5177.0,    1.20,
  5178.0,   -0.89,
  5179.0,    3.64,
  5180.0,   -2.89,
  5181.0,    3.34,
  5182.0,    0.90,
  5183.0,    1.25,
  5184.0,    0.41,
  5185.0,   -2.24,
  5186.0,    0.71,
  5187.0,    0.42,
  5188.0,    1.06,
  5189.0,   -0.24,
  5190.0,   -0.26,
  5191.0,   -2.25,
  5192.0,   -2.01,
  5193.0,   -2.14,
  5194.0,   -2.32,
  5195.0,   -2.72,
  5196.0,    0.39,
  5197.0,   -1.34,
  5198.0,    2.24,
  5199.0,   -1.71,
  5200.0,   -2.15,
  5201.0,    1.22,
  5202.0,    1.28,
  5203.0,    1.50,
  5204.0,    1.50,
  5205.0,    1.95,
  5206.0,    2.10,
  5207.0,    2.15,
  5208.0,    1.77,
  5209.0,    0.67,
  5210.0,    0.54,
  5211.0,    0.46,
  5212.0,    2.44,
  5213.0,   -0.82,
  5214.0,   -0.72,
  5215.0,   -1.20,
  5216.0,   -9.99,
  5217.0,   -2.24,
  5218.0,  -12.91,
  5219.0,    2.69,
  5220.0,   -6.43,
  5221.0,   -9.60,
