$Temperature file for segment 86,,
,,
JDAY,T,
15.56,5.93,
15.57,5.95,
15.58,5.96,
15.59,5.98,
15.6,5.99,
15.61,6,
15.62,6.01,
15.63,6.03,
15.64,6.03,
15.65,6.04,
15.66,6.05,
15.67,6.05,
15.68,6.05,
15.69,6.06,
15.7,6.06,
15.71,6.06,
15.72,6.06,
15.73,6.05,
15.74,6.05,
15.75,6.05,
15.76,6.05,
15.77,6.05,
15.78,6.05,
15.79,6.05,
15.8,6.05,
15.81,6.05,
15.82,6.05,
15.83,6.05,
15.84,6.05,
15.85,6.05,
15.86,6.05,
15.87,6.04,
15.88,6.04,
15.89,6.03,
15.9,6.03,
15.91,6.02,
15.92,6.01,
15.93,6,
15.94,5.99,
15.95,5.99,
15.96,5.98,
15.97,5.96,
15.98,5.96,
15.99,5.95,
16,5.94,
16.01,5.92,
16.02,5.91,
16.03,5.89,
16.04,5.88,
16.05,5.86,
16.06,5.85,
16.07,5.84,
16.08,5.82,
16.09,5.81,
16.1,5.79,
16.11,5.78,
16.12,5.76,
16.13,5.74,
16.14,5.73,
16.15,5.71,
16.16,5.7,
16.17,5.68,
16.18,5.67,
16.19,5.65,
16.2,5.64,
16.21,5.62,
16.22,5.61,
16.23,5.6,
16.24,5.59,
16.25,5.57,
16.26,5.56,
16.27,5.55,
16.28,5.54,
16.29,5.53,
16.3,5.52,
16.31,5.52,
16.32,5.51,
16.33,5.5,
16.34,5.49,
16.35,5.48,
16.36,5.47,
16.37,5.47,
16.38,5.46,
16.39,5.46,
16.4,5.46,
16.41,5.45,
16.42,5.45,
16.43,5.45,
16.44,5.45,
16.45,5.45,
16.46,5.46,
16.47,5.46,
